1	zz	cbs	1111	11	1111	11	11	0	
平凡的世界	路遥	北京出版集团公司,北京十月文艺出版社	9787530212004	B	二楼	1	1	0	
王考	童伟格	后浪丨四川人民出版社	9787220113468	B	二楼	1	1	0	
动物农场	[英]乔治·奥威尔	上海译文出版社	9787532741854	B	二楼	1	1	0	
我的天才女友	[意]埃莱娜·费兰特	人民文学出版社	9787020120130	B	二楼	1	1	0	
岛上书店	[美]加布瑞埃拉·泽文	江苏凤凰文艺出版社	9787539971810	B	二楼	1	1	0	
长安十二时辰 下	马伯庸	湖南文艺出版社	9787540478339	B	二楼	1	1	0	
太古和其他的时间	[波兰]奥尔加·托卡尔丘克	后浪丨四川人民出版社	9787220103735	B	二楼	1	1	0	
巨人的陨落	[英]肯·福莱特	江苏凤凰文艺出版社	9787539989891	B	二楼	1	1	0	
围城	钱钟书	人民文学出版社	9787020090006	B	二楼	1	1	0	
红玫瑰与白玫瑰	张爱玲	花城出版社	9787536021440	B	二楼	1	1	0	
挪威的森林	[日]村上春树	上海译文出版社	9787532742929	B	二楼	1	1	0	
西游记（全二册）	吴承恩	人民文学出版社	9787020008735	B	二楼	1	1	0	
天龙八部	金庸	生活.读书.新知三联书店	9787108006721	B	二楼	1	1	0	
呼啸山庄	（英）勃朗特	人民文学出版社	9787020027606	B	二楼	1	1	0	
哈利·波特与混血王子	[英]J·K·罗琳	人民文学出版社	9787020053230	B	二楼	1	1	0	
撒哈拉的故事	三毛	皇冠出版社	9789573305545	B	二楼	1	1	0	
水浒传（全二册）	罗贯中	人民文学出版社	9787020008742	B	二楼	1	1	0	
阿Q正传	鲁迅著	上海书店出版社	9787806222850	B	二楼	0	1	1	
如父如子	[日]是枝裕和	湖南文艺出版社	9787540484651	B	二楼	1	1	1	
鬼吹灯之精绝古城	天下霸唱	安徽文艺出版社	9787539628042	B	二楼	1	1	0	
哈利·波特与凤凰社	[英]J·K·罗琳	人民文学出版社	9787020043279	B	二楼	0	1	1	
偷影子的人	[法]马克·李维	湖南文艺出版社	9787540455958	B	二楼	1	1	0	
